id,batch_id,niche,filename,status,created_at,quality_score,platform,title,tags,description,upload_date,reviewed_at,mockup_created_at,listed_at,sold_at,last_updated_at,pipeline_stage,sales_count,revenue,actual_revenue,actual_sales_count,first_sale_date,last_sale_date,total_orders,platform_fees_estimate,estimated_profit,notes,parent_product_id,product_type,idea,image_path,mockup_paths
1,,,designs/product_0001.png,draft,2026-05-15T23:16:35,0,etsy,Inspirational Laptop Sticker for Motivational Vibes | Perfect Gift for Students and Creatives,laptop sticker|motivational gift|student decor|creative accessories|positive vibes|funny laptop|trendy stickers|gift for her|inspiration|custom stickers|office decor|personalized gift|artistic design,"Elevate your workspace with our inspirational laptop sticker, designed to keep you motivated and focused throughout the day. Perfect for students, creatives, and anyone looking to add a touch of positivity to their tech. This stylish sticker is not only a statement piece but also a daily reminder to chase your dreams and stay inspired.

Whether you're gifting it to a friend or treating yourself, this sticker makes a thoughtful addition to any occasion, from graduations to birthdays. It's easy to apply and can be removed without leaving residue, making it a great choice for those who love to personalize their devices.

Crafted with high-quality materials, our laptop sticker is durable and water-resistant, ensuring it stands up to daily use. Enhance your laptop's look while sharing your passion for positivity with this eye-catching design!",,,,,,2026-05-15T23:16:35,generation,0,0,0,0,,,0,0,0,,,original,a stciker for laptops that esty's average customer would buy,designs/product_0001.png,
2,,,designs/product_0002.png,draft,2026-05-15T23:23:06,0,etsy,Funny Nurse Meme Sticker - Isolated PNG for Nurses and Healthcare Workers,nurse meme sticker|healthcare humor|funny nurse gift|nurse appreciation|nursing student|scrubs accessory|funny sticker|nurse life|workplace decor|healthcare worker|gift for nurses|png sticker|humorous decal,"Brighten up your workspace or personal items with our hilarious nurse meme sticker! This unique design is perfect for nurses looking to express their sense of humor while celebrating the challenges of their profession. Whether you're a seasoned healthcare worker or a nursing student, this sticker is a fun way to showcase your passion and dedication.

Ideal for gifts, this sticker is perfect for Nurse Appreciation Week, birthdays, or just a little something to make a fellow nurse smile. Stick it on your laptop, water bottle, or scrubs to add a touch of personality to your daily routine.

Each sticker is printed with high-quality materials, ensuring vibrant colors and durability. With easy application and a great adhesive, you can confidently decorate your belongings while enjoying a long-lasting design.",,,,,,2026-05-15T23:23:06,generation,0,0,0,0,,,0,0,0,,,original,nurse meme sticker design with isolated PNG,designs/product_0002.png,
3,,social_anxiety,social-anxiety-cute-characters-sticker-sheet-pastel-kawaii-planner-stickers,uploaded,2026-05-16T05:19:41,0,etsy,Social Anxiety Cute Characters Sticker Sheet | Pastel Kawaii Planner Stickers,social_anxiety|mental_health|sticker_sheet|cute_stickers|kawaii_stickers|anxiety_support|self_care_gift|planner_stickers|therapy_reminder|mood_tracker|college_student|gift_for_teens|desk_decor,"Bright, comforting sticker sheet made for introverts, anxious socialites, and anyone who finds relief in cute, relatable art. These little vinyl characters wear ‘‘Social Anxiety’’ like a soft, honest badge—blushing faces, tiny pals, and pastel halos that nod to the quiet victories of everyday life. Stick them on journals, laptop corners, water bottles, or inside a planner as a gentle reminder that you’re seen and it’s okay to feel. The matte laminate keeps colors soft while protecting the ink from sun and mess, and the easy-peel backing makes application smooth and frustration-free. Lightweight and weather-resistant, these sheets travel from shelf to backpack to desk without losing their charm.

Product features
- Three finish options: white, holographic, or transparent vinyl sticker sheets.
- Premium printable vinyl rated to last 5+ years in varied weather conditions.
- Eco-solvent inks and UV protective matte laminate for color longevity and element resistance.
- Water-resistant vinyl with easy-peel backing for quick, clean application indoors or short-term outdoors.
- One assembled sheet per listing; small, closely placed details may cut as one shape; manufactured in the USA from globally sourced parts.

Care instructions
- Use a soft, clean and dry cloth to gently brush any dust or dirt off from the center of the sticker outwards.",,,,,,2026-05-16T05:19:41,published,0,0,0,0,,,0,0,0,Imported from Etsy export,,original,Social Anxiety Cute Characters Sticker Sheet | Pastel Kawaii Planner Stickers,social-anxiety-cute-characters-sticker-sheet-pastel-kawaii-planner-stickers.png,
4,,square_stickers,social-anxiety-illustration-square-stickers-cute-cartoon-emotional-sticker,uploaded,2026-05-16T05:21:09,0,etsy,Social Anxiety Illustration Square Stickers | Cute Cartoon Emotional Sticker,square_stickers|social_anxiety|mental_health|cute_sticker|anxiety_sticker|laptop_sticker|kawaii_sticker|therapy_gift|self_care|mental_health_art|sticker_pack|support_sticker|awareness_sticker,"A small, heart-forward square sticker that gives voice to quiet moments. This bright, glossy vinyl decal shows a trio of worried characters and the words “Social Anxiety,” rendered in soft pastels and bold outlines. It clings smoothly to laptops, notebooks, water-bottle sleeves, and phone cases — a subtle, honest badge for anyone navigating social nerves. The finish catches light and keeps colors lively while the strong acrylic-backed vinyl holds in place through daily handling. Use it to mark your space, start conversations, or remind yourself you’re not alone on days that feel heavy.

Product features
- Glossy scratch-resistant finish for vivid shine
- Durable 100% vinyl with strong 3M acrylic adhesive
- Printed with eco-solvent inks for bright, lasting color
- Available in four square sizes to suit laptops, journals, or water-bottle areas
- Designed for indoor use (not waterproof)

Care instructions
- Use a soft, clean and dry cloth to gently brush any dust or dirt off from the center of the sticker outwards.",,,,,,2026-05-16T05:21:09,published,0,0,0,0,,,0,0,0,Imported from Etsy export,,original,Social Anxiety Illustration Square Stickers | Cute Cartoon Emotional Sticker,social-anxiety-illustration-square-stickers-cute-cartoon-emotional-sticker.png,
5,,social_cat_tee,cat-blanket-illustration-tee-introvert-humor-cozy-cat-lover-gift,uploaded,2026-05-16T05:21:09,0,etsy,"Cat Blanket Illustration Tee | Introvert Humor, Cozy Cat Lover Gift",social_cat_tee|introvert_shirt|cute_cat_tee|anxiety_tee|funny_cat_shirt|cozy_t_shirt|avoid_people_tee|cat_lover_tee|shy_person_gift|mental_health_tee|relatable_shirt|homebody_shirt|casual_graphic_tee,"Soft, quiet, and a little bit sassy — this lightweight tee feels like wrapping yourself in a small, cozy argument with the outside world. The front art shows a sleepy cat tucked under a blanket with soft raindrops above and the caption “AVOIDING SOCIAL INTERACTION,” a wink at the days when staying in is the plan. Wear it on slow mornings with coffee, on low-key streaming nights, or layered under a hoodie for a muted statement when you need extra social armor. The fabric breathes, the collar holds its shape, and the smooth print sits comfortably against the chest. It reads like an inside joke for introverts, homebodies, and anyone who appreciates gentle humor about needing space.

Product features
- 100% ring-spun cotton (lightweight, 153 g/m²) for soft, year-round comfort
- Tubular knit without side seams for a clean drape and reduced fabric waste
- Ribbed collar with shoulder tape to maintain shape and prevent stretching
- Pearlized tear-away label for irritation-free wear; adult sizing
- DTG front print with option for DTF sleeve/neck prints; Oeko-Tex and safety-compliant

Care instructions
- Do not dryclean
- Do not bleach
- Tumble dry: low heat
- Iron, steam or dry: low heat
- Machine wash: cold (max 30C or 90F), with similar colors 


EU representative: HONSON VENTURES LIMITED, gpsr@honsonventures.com, 3, Gnaftis House flat 102, Limassol, Mesa Geitonia, 4003, CY
Product information: Gildan 64000, 2 year warranty in EU and Northern Ireland as per Directive 1999/44/EC
Warnings, Hazard: For adults, Made in Bangladesh
Care instructions: Machine wash: cold (max 30C or 90F), with similar colors , Do not bleach, Tumble dry: low heat, Iron, steam or dry: low heat, Do not dryclean",,,,,,2026-05-16T05:21:09,published,0,0,0,0,,,0,0,0,Imported from Etsy export,,original,"Cat Blanket Illustration Tee | Introvert Humor, Cozy Cat Lover Gift",cat-blanket-illustration-tee-introvert-humor-cozy-cat-lover-gift.png,
6,,kids_tee,thanksgiving-harvest-turkey-kids-tee-pumpkin-corn-fall-vegetables,uploaded,2026-05-16T05:21:09,0,etsy,"Thanksgiving Harvest Turkey Kids Tee | pumpkin, corn, fall vegetables",kids_tee|children_shirt|cute_kids|fall_kids_tee|pumpkin_shirt|harvest_tee|autumn_kids|kid_graphic_tee|holiday_kids|thanksgiving_tee|toddler_shirt|preschool_tee|playdate_outfit,"A small, playful tee that brings a bit of garden magic to kid-sized days. A bright cluster of pumpkins, squash, and fall foliage sits across the chest in warm, hand-drawn colors — cheerful without shouting. The midweight cotton feels soft against young skin while the classic crew cut keeps movement easy for play, school, and quiet afternoons turning picture books into adventures. Thoughtful details — like a stretchy ribbed collar, shoulder tape to keep shape, and a pearlized tear-away label — keep the shirt comfortable all day. Ethically sourced US cotton and REACH/Oeko-Tex certifications mean you can trust both the fabric and the finish. This tee settles into seasonal routines: layering under a jacket for crisp mornings, pairing with jeans for a pumpkin-patch walk, or wearing at home for cozy, colorful moments.

Product features
- 100% midweight US cotton (5.3 oz/yd²) for a soft, durable feel
- Seamless tubular knit body for a cleaner look and less fabric waste
- Ribbed collar and shoulder tape to retain shape and prevent stretching
- DTF/DTG printed design with pearlized tear-away inner label for comfort
- REACH and Oeko-Tex certified; ethically sourced cotton

Care instructions
- Machine wash: warm (max 40C or 105F)
- Non-chlorine: bleach as needed
- Tumble dry: medium heat
- Iron, steam or dry: low heat
- Do not dry clean",,,,,,2026-05-16T05:21:09,published,0,0,0,0,,,0,0,0,Imported from Etsy export,,original,"Thanksgiving Harvest Turkey Kids Tee | pumpkin, corn, fall vegetables",thanksgiving-harvest-turkey-kids-tee-pumpkin-corn-fall-vegetables.png,
7,,mom_superhero,mom-superhero-logo-t-shirt-mother-s-day-supermom-tee,uploaded,2026-05-16T05:21:09,0,etsy,Mom Superhero Logo T-Shirt | Mother's Day Supermom Tee,mom_superhero|supermom_tee|mother's_day|mom_gift|mom_t_shirt|mom_life_shirt|gifts_for_mom|superhero_mom|mom_appreciation|new_mom_gift|mothers_day_tee|mom_proud_shirt|family_hero_tee,"This tee wears like a quiet shout-out to the woman who holds a hundred small worlds at once. The bold ‘Mom Superhero’ logo lands front and center—clean lines, confident lettering—so it reads like an everyday badge of honor rather than a costume. Lightweight, soft cotton keeps it comfortable through packed mornings, school runs, and late-night bedtime stories. It layers easily under a cardigan or jacket, or stands alone when she wants that simple, proud statement. For Mother’s Day brunch, a family photo, or just a regular Tuesday run to the store, this shirt fits into the rhythms of motherhood: practical, warm, and a little bit celebratory.

The design speaks to hands-on parents who appreciate thoughtful, durable basics. It’s made to be worn often and still look good—through hugs, laundry, and life’s small adventures.

Product features
- 100% ring-spun cotton (lightweight 153 g/m²) for soft, breathable comfort
- Tubular knit (no side seams) for cleaner look and reduced fabric waste
- Ribbed collar with shoulder tape to maintain shape and resist stretching
- Durable, high-quality DTF/DTG prints for crisp, long-lasting graphics
- Pearlized tear-away label and Oeko-Tex certification for wear comfort and safety

Care instructions
- Do not dryclean
- Do not bleach
- Tumble dry: low heat
- Iron, steam or dry: low heat
- Machine wash: cold (max 30C or 90F), with similar colors 


EU representative: HONSON VENTURES LIMITED, gpsr@honsonventures.com, 3, Gnaftis House flat 102, Limassol, Mesa Geitonia, 4003, CY
Product information: Gildan 64000, 2 year warranty in EU and Northern Ireland as per Directive 1999/44/EC
Warnings, Hazard: For adults, Made in Bangladesh
Care instructions: Machine wash: cold (max 30C or 90F), with similar colors , Do not bleach, Tumble dry: low heat, Iron, steam or dry: low heat, Do not dryclean",,,,,,2026-05-16T05:21:09,published,0,0,0,0,,,0,0,0,Imported from Etsy export,,original,Mom Superhero Logo T-Shirt | Mother's Day Supermom Tee,mom-superhero-logo-t-shirt-mother-s-day-supermom-tee.png,
8,,cute_tee,ramen-sushi-shirt-playful-japanese-foodie-graphic-tee,uploaded,2026-05-16T05:21:09,0,etsy,Ramen Sushi Shirt | Playful Japanese Foodie Graphic Tee,cute_tee|kawaii_shirt|ramen_tee|sushi_shirt|foodie_tee|anime_style|cute_graphic|unisex_tee|casual_shirt|gift_for_foodie|japan_food_tee|cute_outfit|nerd_chic,"This soft, sturdy tee brings a playful slice of foodie charm to everyday wear. A smiling ramen bowl and cheerful sushi character sit bright across the back, adding a warm, whimsical touch that pops on the clean white cotton. The shirt’s relaxed crew fit feels effortless — wear it on quick errands, casual meetups, or cozy nights in while you noodle over your favorite recipes. It’s breathable and durable, so the design stays crisp through washes while the cotton keeps things comfortable against your skin. Small details like a tear-away label and ribbed collar mean no scratchy distractions, just uncomplicated comfort and a little culinary joy in your wardrobe.

Product features
- 100% cotton body (solid colors) — medium weight 180 g/m² for year-round comfort
- Classic crew neck and relaxed fit for easy, everyday wear
- Durable, smooth fabric ideal for vibrant DTG/DTF printing
- Tear-away label and shoulder tape for comfort and shape retention
- Oeko-Tex certified and ethically sourced US cotton; meets safety and EU warranty standards

Care instructions
- Non-chlorine: bleach as needed
- Do not iron
- Do not dryclean
- Machine wash: cold (max 30C or 90F)
- Tumble dry: low heat


EU representative: HONSON VENTURES LIMITED, gpsr@honsonventures.com, 3, Gnaftis House flat 102, Limassol, Mesa Geitonia, 4003, CY
Product information: Gildan 5000, 2 year warranty in EU and Northern Ireland as per Directive 1999/44/EC
Warnings, Hazard: For adults, Made in Nicaragua
Care instructions: Machine wash: cold (max 30C or 90F), Non-chlorine: bleach as needed, Tumble dry: low heat, Do not iron, Do not dryclean",,,,,,2026-05-16T05:21:09,published,0,0,0,0,,,0,0,0,Imported from Etsy export,,original,Ramen Sushi Shirt | Playful Japanese Foodie Graphic Tee,ramen-sushi-shirt-playful-japanese-foodie-graphic-tee.png,
9,,canvas_tote,handbag-obsessed-tote-bag-canvas-shopper-purse-illustration,uploaded,2026-05-16T05:21:09,0,etsy,"Handbag Obsessed Tote Bag | Canvas Shopper, Purse Illustration",canvas_tote|cotton_tote|handbag_lover|purse_obsessed|everyday_tote|reusable_bag|shopping_tote|grocery_tote|eco_friendly|casual_bag|gift_for_her|fashion_tote|market_bag,"This sturdy cotton canvas tote brings everyday utility a little closer to joy. Heavy 12 oz fabric and flat-corner construction give it structure that holds its shape while you run errands, sort through a market haul, or stash a sketchbook and water bottle. Long, self-fabric handles with reinforced stitching sit comfortably on the shoulder so you can carry hands-free. The natural or black canvas wears prints beautifully — here, a warm, vintage-inspired handbag illustration framed by a delicate laurel wreath adds personality without shouting. It’s the kind of tote that slips into daily life: functional, durable, and quietly stylish.

Product features
- 100% cotton canvas, heavy 12 oz fabric for durability
- Flat-corner construction for a structured, slim profile
- Self-fabric shoulder handles with reinforced stitching
- Sewn-in label; blank sourced from India
- Available in natural and black colorways

Care instructions
- Do not iron directly over the printed area - print may stick to the iron.
- Spot clean
- Do not bleach
- Line dry",,,,,,2026-05-16T05:21:09,published,0,0,0,0,,,0,0,0,Imported from Etsy export,,original,"Handbag Obsessed Tote Bag | Canvas Shopper, Purse Illustration",handbag-obsessed-tote-bag-canvas-shopper-purse-illustration.png,
10,,maker_shirt,maker-dreamer-illustration-t-shirt-girl-with-coffee-creative-badge,uploaded,2026-05-16T05:21:09,0,etsy,"Maker & Dreamer Illustration T-Shirt | Girl with Coffee, Creative Badge",maker_shirt|dreamer_tee|coffee_lover|creative_tee|women_maker|artisan_shirt|casual_unisex|gift_for_her|creative_apparel|small_biz_owner|craft_fair_tee|studio_outfit|everyday_tee,"Lightweight, soft, and quietly confident — this tee feels like the first warm sip of morning coffee. The illustration shows a relaxed maker with a takeaway cup, framed by a simple laurel wreath and the words “Maker & Dreamer.” Wear it while sketching, writing, or pacing the studio as ideas settle into place. The breathable ring-spun cotton sits close to the body without clinging, so layered or worn alone it moves with your day. Subtle vintage tones in the print give a hand-drawn, low-key artisan vibe that pairs easily with jeans, an apron, or a cozy cardigan. Built with durable stitching and a comfortable crew neck, this shirt keeps its shape through long creative sessions and repeat washes.

Product features
- 100% ring-spun cotton (lightweight 153 g/m²) for soft, year-round wear
- Tubular knit (no side seams) for a smooth, eco-conscious construction
- Ribbed collar and shoulder tape to retain shape and prevent stretching
- DTG main print with optional DTF sleeve and inner neck prints
- Pearlized tear-away label and Oeko-Tex certified, ethically sourced cotton

Care instructions
- Do not dryclean
- Do not bleach
- Tumble dry: low heat
- Iron, steam or dry: low heat
- Machine wash: cold (max 30C or 90F), with similar colors 


EU representative: HONSON VENTURES LIMITED, gpsr@honsonventures.com, 3, Gnaftis House flat 102, Limassol, Mesa Geitonia, 4003, CY
Product information: Gildan 64000, 2 year warranty in EU and Northern Ireland as per Directive 1999/44/EC
Warnings, Hazard: For adults, Made in Bangladesh
Care instructions: Machine wash: cold (max 30C or 90F), with similar colors , Do not bleach, Tumble dry: low heat, Iron, steam or dry: low heat, Do not dryclean",,,,,,2026-05-16T05:21:09,published,0,0,0,0,,,0,0,0,Imported from Etsy export,,original,"Maker & Dreamer Illustration T-Shirt | Girl with Coffee, Creative Badge",maker-dreamer-illustration-t-shirt-girl-with-coffee-creative-badge.png,
